"ID";"Label";"Orga.hiero";"Nmbr.Plage.ext";"Decor";"Del.centre";"Datation";"Dm.ext";"Dm.int";"Titre";"Nmbr.hiero";"Nmbr.Symb";"Surface";"Symb";"Hiero";"Titre-Hiero"
"Boehmer1987-111";"B.111";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";27;17;"Fonctionnaire";3;2;"Plate";"L370-BONUS2, L441-VITA, Frise.torsadee, ";"L193-LUNA, L17-REX, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-117";"B.117";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";25;9;"Fonctionnaire";3;2;"Plate";"L441-VITA, L370-BONUS2, Frise.torsadee, ";"L105-BOS, L432-zu, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-118";"B.118";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";29;10;"Fonctionnaire";3;1;"Plate";"L441-VITA, Frise.torsadee, ";"?, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Boehmer1987-119";"B.119";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";17;9;"Abs";2;1;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Boehmer1987-120";"B.120";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";20;9;"Fonctionnaire";3;2;"Plate";"L441-VITA, L370-BONUS2, Frise.torsadee, ";"?, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-123";"B.123";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";20;10;"Fonctionnaire";2;2;"Plate";"L441-VITA, L370-BONUS2, Frise.torsadee, ";"L103-CERVUS3, L383-ra/i, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-124";"B.124";"Atypique";1;"Ornemental";"Aucune";"16-15e";23;12;"Fonctionnaire";2;2;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"?, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-125";"B.125";"Atypique";1;"Ornemental";"Aucune";"16-15e";19;9;"Abs";2;1;"Plate";"L369-VITA, Frise.torsadee, ";"?, ";"?  "
"Boehmer1987-126";"B.126";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";25;12;"Fonctionnaire";2;2;"Plate";"L369-VITA, L370-BONUS2, Frise.torsadee, ";"L100-ASINUS, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-127";"B.127";"Atypique";1;"Ornemental";"Aucune";"16-15e";20;10;"Fonctionnaire";3;2;"Plate";"L370-BONUS2, L441-VITA, Frise.torsadee, ";"L110-ma, ?, L326-SCRIBA, ";"L326-SCRIBA  "
