t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,ISIN, Nom
76.873809524,83.352380952,129.21304348,77.841666667,56.4,43.814285714,33.4475,36.619565217,47.48,23.863181818,18.599545455,11.955789474,12.503181818,12.396,9.6881818182,8.8763157895,8.7222727273,7.0505,5.6145454545,4.9060869565,3.0735,3.8052173913,4.4318181818,4.2594444444,3.8404545455,3.005,2.5405,2.4742857143,2.4495454545,2.453,2.0134782609,1.6036363636,1.3538095238,1.2817391304,1.1657142857,1.412,1.1481818182,1.1355,1.099047619,1.109,1.1485714286,1.1771428571,1.2286956522,1.2057142857,1.2172727273,1.1330434783,1.316,1.279047619,1.2571428571,1.513,1.5130434783,1.379,1.2533333333,1.1054545455,1.035,1.0033333333,0.9554545455,1.0047619048,1.3081818182,1.5717391304,1.7485714286,2.381,2.2647619048,1.9033333333,1.6913636364,1.9813636364,2.0257142857,2.1395652174,2.2004545455,1.9814285714,1.7922727273,1.7619047619,1.9131818182,2.2905,2.4495652174,2.4055555556,2.1240909091,1.7522727273,1.6923809524,1.7282608696,1.6252380952,1.3981818182,1.3986363636,1.4,1.5190909091,1.371,1.1122727273,1.1457894737,1.1404545455,1.080952381,1.1181818182,1.0052173913,0.954,0.9308695652,0.91,0.8284210526,0.7077272727,0.7466666667,0.8078947368,0.8066666667,0.7738095238,0.7166666667,0.5971428571,0.5888888889,0.5166666667,0.3352380952,0.3405882353,0.2836842105,0.3405,0.3961111111,0.3377272727,0.502,0.5895,0.5945454545,0.5456521739,0.5638095238,0.6222727273,0.7119047619,0.750952381,0.6823809524,FR0000120404,Accor
44.85047619,40.576190476,38.62173913,42.273888889,44.192272727,43.536666667,44.87,47.500434783,46.037619048,43.667272727,46.414090909,42.586842105,47.11,46.294,44.716363636,44.444736842,49.068636364,47.167,45.5,43.618695652,33.7235,32.557826087,36.447727273,39.133333333,41.270909091,40.0325,45.3705,46.535238095,44.905,41.164,35.157391304,34.413636364,32.482857143,30.885217391,34.638095238,32.134,28.279545455,28.969,27.666666667,27.602,31.01,32.426190476,32.486086957,34.4,33.956818182,32.976086957,34.8795,35.683333333,36.271904762,35.6685,34.184782609,34.73,33.833333333,33.982727273,34.773636364,34.720909091,32.686363636,31.664761905,32.991818182,32.20173913,32.496666667,34.9535,37.235714286,37.126190476,36.414545455,38.641363636,40.663333333,42.779565217,41.927272727,41.955238095,44.197727273,45.638095238,49.341363636,50.2825,48.729565217,48.003333333,48.263181818,45.593636364,46.033809524,46.61826087,51.423809524,53.972727273,55.654545455,57.542105263,61.840909091,68.8575,69.06,72.323157895,69.480454545,66.416666667,68.086363636,59.573043478,62.2185,66.482173913,59.488636364,55.981052632,50.966363636,50.106190476,45.743684211,49.795454545,51.704285714,46.063809524,42.509130435,45.422857143,42.501818182,31.140434783,28.786,32.63,32.142380952,31.39725,27.376590909,30.07775,33.219,29.615,27.964130435,33.021666667,37.216363636,36.102045455,35.246428571,37.698409091,FR0000076861,Acteos
12.893809524,21.411428571,23.51,16.593888889,15.970909091,14.83952381,13.3945,14.474782609,18.915714286,15.807272727,16.265454545,14.714736842,15.981818182,15.637,12.835454545,12.227368421,13.654090909,13.3135,12.779545455,13.442727273,10.4155,9.8947826087,8.9577272727,9.2555555556,10.323636364,11.673,11.03,12.431904762,13.295454545,12.0855,10.996190476,10.431818182,10.120952381,6.9626086957,6.6071428571,7.037,6.9331818182,6.333,5.3466666667,5.7005,5.9047619048,6.4647619048,6.4486956522,6.4657142857,7.0631818182,6.8069565217,7.3775,7.510952381,8.8742857143,11.683,12.380434783,11.1275,10.419047619,11.136818182,12.997272727,12.452272727,13.006818182,14.026190476,14.124090909,13.639130435,15.673333333,19.436,22.723809524,24.983333333,26.857727273,25.957272727,22.685714286,23.29173913,25.081818182,26.267142857,22.700454545,21.46,23.667727273,23.6745,21.763913043,20.022222222,17.352272727,15.959545455,14.416190476,13.945652174,15.641904762,13.695,11.953181818,11.33,12.305,12.264,12.329545455,13.839473684,13.183636364,13.445714286,14.228636364,14.203809524,14.9915,14.762727273,14.514090909,14.094210526,12.397727273,10.5885,10.186666667,11.108181818,10.89,10.3695,9.5423809524,9.3505,8.7754545455,7.9186956522,7.7789473684,7.4352380952,7.3725,7.7125,7.9122727273,8.8965,9.018,9.4931818182,10.07826087,10.241904762,11.98,12.100952381,12.754736842,12.51,FR0010340141,AeropParis
11.915333333,12.667619048,12.198571429,12.416153846,12.305263158,11.8855,11.81875,11.888421053,11.97047619,12.6515,12.335,12.291052632,12.887727273,13.3115,13.298181818,13.233157895,13.303636364,13.1385,12.887727273,12.652608696,12.352,12.327826087,12.252727273,11.993529412,12.29,12.8895,13.319,13.327142857,13.325909091,13.0945,12.957826087,12.904090909,12.885238095,13.251304348,13.120952381,12.983,13.05,13.025,12.995238095,14.3085,14.438095238,14.517619048,14.906521739,15.940952381,15.687727273,16.09173913,16.816,16.428095238,16.919047619,18.1535,18.75173913,20.421,20.703333333,20.85,21.397727273,21.480454545,21.378636364,22.398095238,22.264090909,23.34173913,23.117142857,23.4115,26.158095238,28.047619048,27.554545455,28.660909091,29.67047619,30.553913043,29.753636364,30.981428571,30.801363636,29.52952381,29.426363636,31.03,35.021304348,35.972777778,35.633636364,35.086818182,36.32047619,36.362173913,37.318571429,40.961363636,40.65,44.266315789,45.505909091,45.524,47.515454545,47.658947368,44.596363636,46.374285714,46.023181818,43.810869565,43.0645,42.388695652,38.749545455,35.893684211,32.017272727,32.57,35.100526316,37.301363636,35.06047619,32.955714286,31.645217391,33.172857143,30.301818182,21.466086957,16.962,13.095238095,11.878095238,10.17,8.8127272727,9.7515,13.2065,13.632727273,13.491304348,16.591428571,18.001818182,18.473809524,17.58047619,16.487727273,FR0010148510,AffiParis
19.26047619,16.57047619,15.724782609,17.041666667,16.544545455,18.038571429,18.8785,20.207391304,21.04952381,19.375,21.911818182,22.736315789,23.295454545,22.2425,20.366818182,19.675789474,21.286818182,20.419,19.471363636,18.91,13.2245,12.736086957,14.500909091,16.002222222,17.461818182,18.121,20.243,19.79952381,19.021818182,16.702,15.013478261,14.010454545,10.982380952,8.967826087,12.064761905,10.745,9.5313636364,8.8625,8.8366666667,9.7295,10.973809524,11.716190476,12.747826087,13.90952381,14.584090909,13.577391304,13.4095,12.63047619,13.628095238,15.352,15.105652174,14.7795,13.395238095,13.299090909,13.35,12.427727273,13.282272727,12.94,14.190454545,14.201304348,13.924285714,14.538,14.149047619,13.27047619,12.700454545,12.904090909,13.111904762,13.575652174,13.934090909,14.082380952,14.655909091,17.290952381,18.344090909,19.4385,19.586521739,18.923888889,17.755454545,16.841363636,18.467142857,19.903478261,22.478095238,25.455909091,30.135909091,30.98,33.701818182,34.864,33.181363636,36.641052632,36.881818182,35.71952381,33.818636364,30.126086957,27.2,27.172608696,24.202727273,24.047368421,20.616363636,18.51047619,16.791578947,18.983181818,19.085238095,16.264285714,15.135217391,16.798571429,16.71,13.382173913,10.7485,9.719047619,8.84,7.67095,6.9657272727,8.32565,10.2045,9.8740454545,8.7204782609,10.160761905,11.396136364,11.880227273,10.995238095,11.163181818,FR0000120073,Airliqu
54.342857143,50.61,47.430869565,49.333888889,49.206818182,49.056190476,49.55,51.573043478,50.42047619,47.695454545,52.408181818,55.536842105,55.745454545,54.3115,57.892272727,60.016315789,61.377272727,59.474,59.479545455,57.095652174,53.3455,57.577391304,57.256363636,57.167777778,56.625454545,58.2175,61.3,61.609047619,61.892272727,61.2995,60.318695652,58.591818182,53.759047619,54.642608696,54.973809524,52.636,50.095,47.5975,50.036190476,54.765,54.063333333,54.233809524,54.750434783,55.176666667,53.852727273,52.44173913,54.79,56.086190476,56.792380952,56.6235,58.000434783,60.4435,59.592857143,61.140909091,60.84,58.489545455,58.935909091,58.17952381,59.679545455,60.226086957,60.577142857,61.127,63.658095238,63.53,63.932272727,64.694090909,64.783809524,65.69826087,67.535,68.077619048,69.477727273,72.824761905,75.324090909,77.0085,76.702173913,79.180555556,76.313181818,73.208181818,75.295238095,78.791304348,79.704761905,81.411363636,85.809090909,88.113157895,89.695454545,89.0465,87.591818182,91.95,89.249545455,91.865238095,96.915,92.154347826,91.4945,94.297391304,93.419090909,99.532105263,97.559545455,93.224761905,93.346842105,97.337272727,86.367142857,84.985714286,83.235652174,82.57047619,82.713181818,68.16173913,66.731,64.004761905,62.554285714,59.95775,60.844318182,64.21525,63.36275,65.779772727,66.771304348,73.478095238,76.234090909,77.312272727,77.612380952,81.501363636,FR0004180537,AkkaTech
42.365714286,50.014285714,47.848695652,45.177777778,54.969545455,66.664285714,76.1575,81.12826087,86.304761905,73.972727273,66.963636364,66.478947368,64.063636364,53.525,40.807272727,33.963684211,35.509090909,26.755,19.670454545,18.818695652,13.772,14.558695652,19.811363636,20.059444444,18.543636364,16.394,16.809,15.213809524,13.315,10.106,6.2043478261,5.1822727273,3.6971428571,3.3426086957,5.3071428571,5.089,5.8104545455,6.6605,6.4780952381,7.259,7.1938095238,8.0252380952,8.0839130435,9.2142857143,10.835909091,11.045217391,11.037,10.58,12.594285714,12.7095,13.093913043,13.4175,11.943809524,11.691818182,11.593181818,9.88,9.7022727273,10.422380952,11.808636364,11.48173913,10.948571429,10.0015,9.8257142857,9.1147619048,8.7018181818,9.205,9.6238095238,9.82,10.415909091,10.59952381,10.193181818,10.664285714,10.963636364,11.628,12.153043478,12.778333333,10.781818182,9.88,9.159047619,9.122173913,9.4871428571,9.6827272727,10.246818182,10.553157895,10.970909091,10.0035,9.0486363636,9.3194736842,9.99,10.15952381,10.168181818,8.1226086957,7.014,6.8230434783,5.6268181818,5.3021052632,4.5272727273,4.1642857143,3.5631578947,3.9522727273,4.6385714286,4.3542857143,3.712173913,4.0585714286,3.4468181818,2.0643478261,1.891,1.6204761905,1.5842857143,1.31535,1.1717272727,1.7007,1.81485,1.8828181818,1.711,2.3437142857,2.7861363636,3.0765,2.4953333333,2.3035454545,FR0000036634,Aldeta
9.6938095238,8.7776190476,8.7934782609,7.9872222222,7.8940909091,8.0785714286,7.8835,8.3360869565,7.6276190476,7.2227272727,7.1890909091,7.6031578947,8.2736363636,7.6375,8.1163636364,8.9242105263,9.3277272727,9.3605,9.6777272727,9.2917391304,8.249,8.4082608696,8.3927272727,8.2711111111,8.2936363636,8.853,9.12,9.1942857143,9.4259090909,11.0765,10.364782609,10.384090909,9.5914285714,8.55,9.9294736842,9.1,9.25,7.9457894737,7.8833333333,9.005,9.1875,9.65,10.012941176,10.3375,10.180454545,9.3547619048,10.049473684,10.033333333,9.8805555556,10.0405,10.449565217,11.108,11.635,12.848636364,12.431363636,12.341052632,12.525238095,13.394285714,13.771818182,12.89,13.937142857,14.8535,15.787142857,15.86,14.065,14.665238095,14.397142857,14.855217391,15.080909091,15.502380952,14.590909091,15.376190476,15.740454545,16.0095,17.013043478,16.862777778,17.552272727,16.560909091,15.288,16.715454545,16.49047619,17.663181818,17.177727273,16.988947368,18.247727273,18.0725,18.003181818,18.647368421,18.972727273,19.695714286,20.615,19.111904762,18.289411765,19.050869565,20.395714286,20.427058824,18.356818182,17.015238095,18.547222222,17.850526316,17.063125,16.802666667,16.327333333,16.242142857,16.156111111,14.806315789,13.2885,11.635238095,9.6428571429,9.132,8.2172727273,9.3245,9.758,9.7118181818,9.6639130435,11.244285714,12.009545455,12.143809524,11.521428571,10.73,FR0000065401,AlliaDev
16.946315789,18.823809524,17.890869565,18.645,17.084545455,16.82,18.2535,18.913478261,21.772380952,21.882272727,21.373636364,21.785789474,22.641363636,22.958,22.733636364,22.155789474,22.730909091,23.055,22.871818182,22.938636364,22.2935,23.112608696,26.409090909,27.668333333,27.274545455,26.2435,26.694,28.353809524,28.338421053,28.4555,28.306956522,27.88,26.116666667,25.037826087,24.715238095,23.9005,24.354545455,25.063,23.86,23.3085,23.706666667,23.87,25.843913043,27.036666667,27.402272727,28.42826087,29.7115,31.272857143,32.777142857,33.5975,33.386956522,31.993,32.644285714,31.512727273,29.995454545,30.119090909,29.123181818,29.543333333,31.464090909,32.207826087,32.197619048,31.706,31.702380952,30.20047619,29.652272727,29.099090909,28.650952381,29.004347826,28.927272727,28.36952381,26.943636364,28.316190476,30.343181818,31.311,32.997391304,33.729444444,34.777727273,34.879090909,32.458095238,34.144782609,33.548095238,33.192272727,32.146363636,31.712105263,35.375454545,36.186,35.373636364,36.945263158,37.569545455,37.086666667,36.861818182,36.87826087,35.9555,35.636521739,34.790909091,34.708947368,34.070909091,32.266666667,31.620526316,31.184090909,31.033333333,30.006666667,30.484782609,30.411428571,29.429545455,26.108695652,24.4525,23.38,26.463809524,25.8025,22.320454545,21.546,20.3365,21.797727273,21.427826087,23.971904762,23.955,24.34952381,25.357142857,26.057272727,FR0000062804,AlphaMos
6.9657142857,10.685714286,11.766521739,9.2983333333,7.8386363636,7.2414285714,6.2225,6.1847826087,6.4838095238,5.6068181818,8.4595454545,8.0731578947,8.535,8.567,6.745,6.2189473684,5.5754545455,4.398,3.6218181818,4.2552173913,3.0135,3.1956521739,3.3431818182,4.0544444444,4.2518181818,4.4665,4.659,4.2447619048,4.1013636364,3.268,2.9430434783,2.4136363636,2.0266666667,1.6345454545,2,1.9757894737,2.3563636364,2.862,2.5647619048,2.7105,2.999047619,2.9771428571,2.9030434783,2.8038095238,2.8309090909,2.8091304348,3.1155,2.6576190476,2.58,2.823,2.6982608696,2.776,2.5995238095,2.4859090909,2.4272727273,2.2659090909,2.0363636364,2.0419047619,1.9409090909,2.1195652174,2.1157142857,2.5375,2.4238095238,2.5757142857,2.5745454545,2.5977272727,2.9804761905,3.5117391304,3.7945454545,3.5552380952,3.3995454545,3.3323809524,4.2740909091,4.9155,6.0095652174,5.4372222222,5.0445454545,4.2290909091,4.0123809524,4.1582608696,4.409047619,4.4240909091,4.3345454545,4.2757894737,4.8531818182,4.729,4.5309090909,4.48,4.0318181818,3.9419047619,4.3522727273,4.0591304348,3.9325,3.8756521739,3.9081818182,4.0221052632,3.7827272727,3.4780952381,3.7231578947,4.0586363636,3.8919047619,3.6438095238,3.5195454545,3.9571428571,3.7309090909,3.3691304348,3.4373684211,3.654,3.4957142857,3.858,3.7590909091,3.7705,3.6875,3.2840909091,3.1559090909,3.3128571429,3.3359090909,3.6495238095,3.849,3.6771428571,FR0010220475,Alstom
