  icod ireg urbr txcr jeun age fe90 etra chom crim fisc agri arti cadr empl ouvr prof
1 Ai  RhA 12.19  0.095  0.339  0.285  0.133  0.070  0.045  0.084  0.088  0.240  0.347  0.195  2772.3  38.7 52.3
2 As  Pic  0.89  0.035  0.358  0.289  0.143  0.133  0.049  0.070  0.071  0.240  0.400  0.171  2854.4  52.2 56.9
3 Al  Auv -2.63  0.031  0.464  0.227  0.204  0.135  0.086  0.095  0.070  0.262  0.311  0.176  3159.6  39.0 42.7
4 AP  PAC 10.00  0.046  0.190  0.235  0.190  0.123  0.065  0.127  0.090  0.261  0.256  0.200  4033.1  57.7 52.3
5 AH  PAC  7.82  0.037  0.294  0.250  0.173  0.089  0.072  0.117  0.078  0.302  0.230  0.201  3364.9  49.2 53.5
6 AM  PAC 10.56  0.091  0.945  0.210  0.217  0.119  0.012  0.124  0.127  0.316  0.227  0.194  4335.4 123.6 50.0
7 Ar  RhA  3.84  0.039  0.281  0.252  0.184  0.105  0.085  0.106  0.073  0.224  0.329  0.184  2730.1  34.7 48.4
8 Ad  ChA -1.87  0.056  0.324  0.292  0.138  0.144  0.065  0.069  0.065  0.240  0.386  0.176  2476.5  52.7 55.6
9 Ag  MiP -0.17  0.055  0.000  0.215  0.228  0.120  0.090  0.103  0.073  0.261  0.298  0.175  3274.1  45.3 44.1
10 Ab ChA  0.22  0.057  0.424  0.270  0.155  0.113  0.068  0.067  0.067  0.227  0.401  0.170  3278.1  42.5 51.9
11 Ad LaR  6.39  0.058  0.299  0.223  0.213  0.167  0.090  0.103  0.080  0.268  0.285  0.174  3477.7  69.4 48.7
12 Av MiP -2.58  0.027  0.230  0.224  0.218  0.079  0.178  0.109  0.067  0.224  0.265  0.157  3042.6  30.2 43.1
13 BR PAC  2.26  0.065  0.869  0.253  0.151  0.169  0.014  0.085  0.135  0.292  0.245  0.228  3714.6  97.2 50.9
14 Ca BNo  5.09  0.018  0.354  0.285  0.135  0.120  0.061  0.080  0.083  0.262  0.320  0.194  3096.8  61.0 51.7
