eff,centre,age,survie,inflam,appar,agecent,histo
9,Ctoki,A<50,Snon,Ipet,Tmal,XT<50,Hp-m
7,Ctoki,A<50,Snon,Ipet,Tben,XT<50,Hp-b
4,Ctoki,A<50,Snon,Igra,Tmal,XT<50,Hg-m
3,Ctoki,A<50,Snon,Igra,Tben,XT<50,Hg-b
26,Ctoki,A<50,Soui,Ipet,Tmal,XT<50,Hp-m
68,Ctoki,A<50,Soui,Ipet,Tben,XT<50,Hp-b
25,Ctoki,A<50,Soui,Igra,Tmal,XT<50,Hg-m
9,Ctoki,A<50,Soui,Igra,Tben,XT<50,Hg-b
9,Ctoki,A>-<,Snon,Ipet,Tmal,XT>-<,Hp-m
9,Ctoki,A>-<,Snon,Ipet,Tben,XT>-<,Hp-b
11,Ctoki,A>-<,Snon,Igra,Tmal,XT>-<,Hg-m
2,Ctoki,A>-<,Snon,Igra,Tben,XT>-<,Hg-b
20,Ctoki,A>-<,Soui,Ipet,Tmal,XT>-<,Hp-m
46,Ctoki,A>-<,Soui,Ipet,Tben,XT>-<,Hp-b
18,Ctoki,A>-<,Soui,Igra,Tmal,XT>-<,Hg-m
5,Ctoki,A>-<,Soui,Igra,Tben,XT>-<,Hg-b
2,Ctoki,A>70,Snon,Ipet,Tmal,XT>70,Hp-m
3,Ctoki,A>70,Snon,Ipet,Tben,XT>70,Hp-b
1,Ctoki,A>70,Snon,Igra,Tmal,XT>70,Hg-m
0,Ctoki,A>70,Snon,Igra,Tben,XT>70,Hg-b
1,Ctoki,A>70,Soui,Ipet,Tmal,XT>70,Hp-m
6,Ctoki,A>70,Soui,Ipet,Tben,XT>70,Hp-b
5,Ctoki,A>70,Soui,Igra,Tmal,XT>70,Hg-m
1,Ctoki,A>70,Soui,Igra,Tben,XT>70,Hg-b
6,Cbost,A<50,Snon,Ipet,Tmal,XB<50,Hp-m
7,Cbost,A<50,Snon,Ipet,Tben,XB<50,Hp-b
6,Cbost,A<50,Snon,Igra,Tmal,XB<50,Hg-m
0,Cbost,A<50,Snon,Igra,Tben,XB<50,Hg-b
11,Cbost,A<50,Soui,Ipet,Tmal,XB<50,Hp-m
24,Cbost,A<50,Soui,Ipet,Tben,XB<50,Hp-b
4,Cbost,A<50,Soui,Igra,Tmal,XB<50,Hg-m
0,Cbost,A<50,Soui,Igra,Tben,XB<50,Hg-b
8,Cbost,A>-<,Snon,Ipet,Tmal,XB>-<,Hp-m
20,Cbost,A>-<,Snon,Ipet,Tben,XB>-<,Hp-b
3,Cbost,A>-<,Snon,Igra,Tmal,XB>-<,Hg-m
2,Cbost,A>-<,Snon,Igra,Tben,XB>-<,Hg-b
18,Cbost,A>-<,Soui,Ipet,Tmal,XB>-<,Hp-m
58,Cbost,A>-<,Soui,Ipet,Tben,XB>-<,Hp-b
10,Cbost,A>-<,Soui,Igra,Tmal,XB>-<,Hg-m
3,Cbost,A>-<,Soui,Igra,Tben,XB>-<,Hg-b
9,Cbost,A>70,Snon,Ipet,Tmal,XB>70,Hp-m
18,Cbost,A>70,Snon,Ipet,Tben,XB>70,Hp-b
3,Cbost,A>70,Snon,Igra,Tmal,XB>70,Hg-m
0,Cbost,A>70,Snon,Igra,Tben,XB>70,Hg-b
15,Cbost,A>70,Soui,Ipet,Tmal,XB>70,Hp-m
26,Cbost,A>70,Soui,Ipet,Tben,XB>70,Hp-b
1,Cbost,A>70,Soui,Igra,Tmal,XB>70,Hg-m
1,Cbost,A>70,Soui,Igra,Tben,XB>70,Hg-b
16,Cglam,A<50,Snon,Ipet,Tmal,XG<50,Hp-m
7,Cglam,A<50,Snon,Ipet,Tben,XG<50,Hp-b
3,Cglam,A<50,Snon,Igra,Tmal,XG<50,Hg-m
0,Cglam,A<50,Snon,Igra,Tben,XG<50,Hg-b
16,Cglam,A<50,Soui,Ipet,Tmal,XG<50,Hp-m
20,Cglam,A<50,Soui,Ipet,Tben,XG<50,Hp-b
8,Cglam,A<50,Soui,Igra,Tmal,XG<50,Hg-m
1,Cglam,A<50,Soui,Igra,Tben,XG<50,Hg-b
14,Cglam,A>-<,Snon,Ipet,Tmal,XG>-<,Hp-m
12,Cglam,A>-<,Snon,Ipet,Tben,XG>-<,Hp-b
3,Cglam,A>-<,Snon,Igra,Tmal,XG>-<,Hg-m
0,Cglam,A>-<,Snon,Igra,Tben,XG>-<,Hg-b
27,Cglam,A>-<,Soui,Ipet,Tmal,XG>-<,Hp-m
39,Cglam,A>-<,Soui,Ipet,Tben,XG>-<,Hp-b
10,Cglam,A>-<,Soui,Igra,Tmal,XG>-<,Hg-m
4,Cglam,A>-<,Soui,Igra,Tben,XG>-<,Hg-b
3,Cglam,A>70,Snon,Ipet,Tmal,XG>70,Hp-m
7,Cglam,A>70,Snon,Ipet,Tben,XG>70,Hp-b
3,Cglam,A>70,Snon,Igra,Tmal,XG>70,Hg-m
0,Cglam,A>70,Snon,Igra,Tben,XG>70,Hg-b
12,Cglam,A>70,Soui,Ipet,Tmal,XG>70,Hp-m
11,Cglam,A>70,Soui,Ipet,Tben,XG>70,Hp-b
4,Cglam,A>70,Soui,Igra,Tmal,XG>70,Hg-m
1,Cglam,A>70,Soui,Igra,Tben,XG>70,Hg-b
